year,school,subject,download_url
114,"私立長庚大學-資訊管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=101441&iDP=67453&iS=3086"
114,"私立東吳大學-資訊管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=101121&iDP=66428&iS=3086"
114,"國立高雄科技大學（建工校區）-電子工程系碩士班（丙組）",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=101055&iDP=67107&iS=3086"
114,"國立高雄科技大學（第一校區）-資訊管理系電子商務碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=101041&iDP=67108&iS=3086"
114,"國立高雄科技大學（第一校區）-資訊管理系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=101041&iDP=67109&iS=3086"
114,"國立嘉義大學-資訊管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=101022&iDP=66897&iS=3086"
114,"國立臺北教育大學-資訊科學碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100896&iDP=66513&iS=3086"
114,"國立臺北教育大學-數學暨資訊教育學系人工智慧與資訊教育碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100895&iDP=67331&iS=3086"
114,"國立臺灣師範大學-科技應用與人力資源發展學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100804&iDP=66482&iS=3086"
114,"國立臺灣師範大學-圖書資訊學研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100751&iDP=66463&iS=3086"
114,"國立臺北科技大學-經營管理系研究所不分組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100733&iDP=66672&iS=3086"
114,"國立臺北科技大學-資訊工程研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100710&iDP=66531&iS=3086"
114,"國立臺北科技大學-電子工程研究所甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100706&iDP=67131&iS=3086"
114,"國立雲林科技大學-資訊工程研究所甲組",計算機概論（2）,"https://master.get.com.tw/exam/Download.ashx?iP=100686&iDP=67290&iS=5062"
114,"國立雲林科技大學-資訊工程研究所乙組",計算機概論（1）,"https://master.get.com.tw/exam/Download.ashx?iP=100680&iDP=67291&iS=5059"
114,"國立雲林科技大學-資訊工程研究所甲組",計算機概論（1）,"https://master.get.com.tw/exam/Download.ashx?iP=100680&iDP=67290&iS=5059"
114,"國立雲林科技大學-電子工程研究所甲組",計算機概論（3）,"https://master.get.com.tw/exam/Download.ashx?iP=100672&iDP=67285&iS=5077"
114,"國立中正大學-資訊管理學系醫療資訊管理碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100503&iDP=66356&iS=3086"
114,"國立中正大學-會計與資訊科技學系碩士班資訊組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100501&iDP=66637&iS=3086"
114,"國立中正大學-資訊管理學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100503&iDP=66355&iS=3086"
114,"國立中正大學-資訊管理學系碩士班甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100503&iDP=66354&iS=3086"
114,"國立中央大學-網路學習科技研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100332&iDP=66254&iS=3086"
114,"國立中央大學-工業管理研究所碩士班大數據組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100298&iDP=67315&iS=3086"
114,"國立中央大學-企業管理學系碩士班戊組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100298&iDP=66272&iS=3086"
114,"國立中央大學-資訊管理學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100298&iDP=66276&iS=3086"
114,"國立中央大學-資訊管理學系碩士班甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100298&iDP=66275&iS=3086"
114,"國立臺北大學-資訊管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=100248&iDP=66579&iS=3086"
114,"國立政治大學-資訊管理學系碩士班科技組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=99918&iDP=65909&iS=3086"
114,"國立政治大學-資訊管理學系碩士班資管組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=99916&iDP=66679&iS=3086"
114,"國立政治大學-圖書資訊與檔案學研究所圖書資訊學組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=99849&iDP=65871&iS=3086"
114,"國立臺灣大學-生醫電子與資訊學研究所丙組",計算機概論與演算法,"https://master.get.com.tw/exam/Download.ashx?iP=99686&iDP=66081&iS=1892"
114,"國立臺灣大學-生物機電系碩士班丁組",計算機概論（A）,"https://master.get.com.tw/exam/Download.ashx?iP=99574&iDP=66022&iS=3368"
